ID RA Dec LHa E_LHa LPab E_Pab AHa E_AHa Ha/24um Ha/70um Ha/8um Ha/12um Ha/100um
106 308.8328 60.1635 1.0748e+37 5.7058e+35 1.1604e+36 1.414e+35 1.0093 0.2647 5.8785e-02 9.5302e-03 9.7076e-03 3.0923e-02 6.8426e-03
107 308.8333 60.164 1.1693e+37 6.1952e+35 7.9092e+35 1.5619e+35 0.2707 0.4936 6.3118e-02 1.1059e-02 1.2906e-02 3.5566e-02 7.8361e-03
108 308.8338 60.1644 5.4849e+36 3.0109e+35 4.9398e+35 2.0522e+35 0.7229 1.3942 5.0444e-02 9.3498e-03 1.3362e-02 3.1692e-02 6.6625e-03
109 308.7821 60.1233 7.4622e+36 9.9628e+35 7.0484e+35 1.1101e+35 0.7981 0.3232 4.0686e-02 7.3931e-03 2.1035e-02 3.2089e-02 6.1773e-03
110 308.8319 60.1638 1.114e+37 5.909e+35 1.4745e+36 1.6176e+35 1.3311 0.2283 5.9514e-02 9.3889e-03 9.7867e-03 3.0472e-02 6.9059e-03
111 308.8325 60.1642 1.0762e+37 5.7131e+35 8.9595e+35 1.2567e+35 0.5987 0.3064 6.3113e-02 1.0731e-02 1.3015e-02 3.5024e-02 7.8530e-03
112 308.833 60.1646 5.786e+36 3.1623e+35 7.961e+35 1.4653e+35 1.3924 0.4921 5.4435e-02 9.9024e-03 1.4152e-02 3.3809e-02 7.2350e-03
113 308.8398 60.1702 1.1995e+37 6.3343e+35 1.0642e+36 1.0623e+35 0.6991 0.1498 1.5245e-01 2.6538e-02 2.0374e-02 7.4075e-02 1.8964e-02
114 308.7802 60.1227 1.0623e+37 5.6255e+35 1.063e+36 1.0619e+35 0.8893 0.1502 4.9457e-02 8.3837e-03 1.2218e-02 3.5059e-02 7.0929e-03
115 308.7807 60.1231 1.2972e+37 6.8397e+35 8.6899e+35 1.0085e+35 0.2554 0.1832 5.4217e-02 8.9515e-03 1.4960e-02 3.8332e-02 7.9968e-03
116 308.7812 60.1235 1.2316e+37 6.5003e+35 1.1356e+36 1.0837e+35 0.76 0.1405 4.9495e-02 8.0940e-03 1.4141e-02 3.4792e-02 7.4721e-03
117 308.7818 60.124 1.2978e+37 1.1205e+36 1.6244e+36 1.583e+35 1.243 0.2517 4.8264e-02 8.0266e-03 1.3497e-02 3.4857e-02 7.4696e-03
118 308.7823 60.1244 1.2467e+37 8.172e+35 1.3016e+36 1.3318e+35 0.9564 0.233 4.4630e-02 7.8492e-03 1.3634e-02 3.3627e-02 7.1249e-03
119 308.786 60.1274 1.6106e+37 8.4886e+35 3.5698e+36 3.2942e+35 2.1456 0.1791 3.9612e-02 8.2118e-03 7.0384e-03 2.7730e-02 6.4629e-03
120 308.8311 60.1641 1.1372e+37 6.0289e+35 2.3183e+36 2.4377e+35 2.0134 0.219 5.8601e-02 9.1158e-03 8.4527e-03 3.0039e-02 6.7027e-03
121 308.8316 60.1645 8.8393e+36 4.7205e+35 9.2985e+35 1.1955e+35 0.9683 0.2767 5.7865e-02 9.5812e-03 1.0444e-02 3.1555e-02 7.0883e-03
122 308.7662 60.1123 1.591e+37 8.3873e+35 2.4429e+36 2.4404e+35 1.5656 0.2017 9.4467e-02 1.8568e-02 1.1083e-02 4.7955e-02 1.3818e-02
