ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,Sigma_star,LBol,L_Edd,Mass_old,Mass_new,Mass_g,Momentum
50,202.5219,47.2189,1.4624e+37,7.6628e+35,9.5791e+35,1.1313e+35,0.1464,0.2258,0.034489,0.0079182,0.0065805,0.020697999999999998,170.71137446442225,909.4047291271327,0.9302457742087552,325.5860209730643,2.019889502762431e+39,367380.19041375676,68190.57677336741,368.04339964698084,5733.148040944406,0.3913279035892857
51,202.521,47.1766,1.4333000000000001e+37,7.5129e+35,2.0597e+36,2.2709e+35,1.3875,0.17,0.04262,0.0064297,0.0065236999999999995,0.022723,176.71714222317433,452.5583538028103,0.9988523023649054,349.5983058277169,1.979696132596685e+39,232668.40590109612,73219.69795305288,360.71977893464,54335.67559296695,1.0639069084952433
52,202.521,47.2172,1.7665e+37,9.2286e+35,1.7563e+36,1.6061e+35,0.8055,0.1463,0.032305,0.007529600000000002,0.0047401000000000006,0.019643,177.28920639159995,891.0361637917404,1.566025026949848,548.1087594324466,2.439917127071824e+39,308138.8971178673,114795.63013341262,444.5764944450162,31544.06247937649,0.92182577459364
53,202.521,47.2178,1.7742000000000002e+37,9.2684e+35,3.1149000000000004e+36,4.1522e+35,1.7038,0.1812,0.031644,0.0065359,0.0048611999999999995,0.018756000000000002,177.29766054358987,897.516132676522,1.8547745931107635,649.1711075887672,2.4505524861878456e+39,351247.6027636542,135962.07883490802,446.51435971941567,66722.25158579969,1.119124392917278
54,202.521,47.2183,1.7345e+37,9.0637e+35,2.1547e+36,2.4712e+35,1.1574,0.1955,0.03257,0.0061148,0.005746800000000001,0.019714,177.30470567011508,902.9161068002144,1.358327165759195,475.4145080157183,2.3957182320441996e+39,274351.9802579882,99570.5817194791,436.52302836959,45324.764635171145,1.025105625335217
55,202.521,47.2189,3.3149000000000002e+37,1.7228000000000001e+36,3.2142000000000004e+36,3.1483e+35,0.7659,0.1218,0.060108,0.010709,0.010302,0.037116,177.3131598221346,909.3960758134692,1.3508326491183944,472.79142719143806,4.5785911602209946e+39,278281.69256613665,99021.2049563237,834.263584169705,29993.292927317765,0.9029610801506082
56,202.521,47.2194,1.8773000000000002e+37,9.8002e+35,2.1758e+36,2.0606e+35,1.0478,0.1189,0.043939,0.0076183000000000015,0.0084666,0.027114,177.32020494916657,914.7960500457598,0.9293846508690716,325.28462780417505,2.592955801104973e+39,212933.20238472772,68127.45313568576,472.46162073117983,41032.73577391767,0.996351053682428
57,202.5201,47.1766,1.6405e+37,8.5796e+35,2.908e+36,2.9899e+35,1.7191,0.1305,0.046557,0.006703799999999999,0.0055934,0.024582,183.3241918569541,452.54977276695627,1.2901505186736395,451.55268153577384,2.265883977900553e+39,280477.06397068617,94572.97246810391,412.8659717730253,67321.41254909514,1.1198411591081705
58,202.5202,47.2094,1.1672e+37,6.1462e+35,1.1482000000000001e+36,2.3717e+35,0.7887,0.3089,0.061505,0.016624,0.009165399999999999,0.029423,183.0486070027064,806.7889452535071,1.1039929733834533,386.3975406842088,1.6121546961325967e+39,238909.4964717727,80926.91167857824,293.75017510117334,30886.16024516976,0.9080598734879924
59,202.5202,47.2166,2.2613000000000003e+37,1.1782000000000001e+36,1.7508e+36,2.416e+35,0.4104,0.2657,0.039957,0.0091473,0.0069917,0.02497,183.1492603335152,884.548566851209,1.3862924613601246,485.2023614760436,3.1233425414364646e+39,323937.1608618127,101620.54495450387,569.103213636295,16071.611721335958,0.706476281789545
60,202.5202,47.2172,2.747e+37,1.4291000000000002e+36,3.0617e+36,3.0323e+35,0.9861,0.1315,0.043314,0.008540100000000002,0.0062193000000000005,0.026494,183.157648111513,891.0285357165196,1.6949223693762356,593.2228292816825,3.794198895027625e+39,324677.9404458514,124244.29882753904,691.3397284123746,38616.51149709889,0.974808553938634
61,202.5202,47.2178,1.518e+37,7.9487e+35,1.7441e+36,2.9660000000000002e+35,1.0339,0.3433,0.027739,0.004672699999999999,0.0051256999999999995,0.017021,183.1660358897976,897.5085046496539,1.4775567412074757,517.1448594226165,2.0966850828729278e+39,292914.0178631943,108310.56608025458,382.03629695303397,40488.39999680616,0.9855739614447944
