ID,RA_x,Dec_x,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,Ha/100um,id,RA_y,Dec_y,xcenter,ycenter,3.6um_aperture_average,r_kpc,LBol,Sigma_star,L_Edd,Mass_old,Mass_new,Mass_g,Momentum
592,308.7944,60.184,1.7323000000000001e+37,9.0978e+35,1.0779e+36,1.0663e+35,0.1388,0.1476,0.094178,0.01182,0.017123,0.061443,0.0112,592,308.7944,60.184,422.6866065318795,1100.77893594966,0.9994784066683428,6.561630189489597,2.39267955801105e+39,349.81744233392,5304628362.849919,73265.59379558761,435.9693525769043,5435.525601660407,0.37501627337320415
593,308.7954,60.1849,8.520600000000002e+36,4.5448e+35,9.2728e+35,1.0238e+35,1.0219,0.1723,0.057103999999999995,0.0068104,0.010876,0.034058,0.006568600000000001,593,308.7954,60.1849,423.23663530730835,1113.1052564749568,1.138196982926472,6.695888242501551,1.1768784530386743e+39,398.3689440242652,3148236486.535673,83434.196530997,214.43863450711606,40018.46982951563,0.9874425864856043
594,308.7238,60.1276,6.984900000000001e+36,4.3685e+35,1.8969000000000002e+36,1.8716e+35,2.4665,0.233,0.022742,0.0058175,0.0082601,0.023121,0.0047569,594,308.7238,60.1276,429.33447667366585,303.4279384021461,1.2071575499843068,4.110005147122315,9.64765193370166e+38,422.50514249450737,3888200249.1185846,88489.27011764355,175.78954746951567,96590.22980183999,1.1976971066473556
595,308.7243,60.128,9.430300000000001e+36,5.1325e+35,1.5571000000000002e+36,1.7697e+35,1.6805,0.2513,0.021872,0.0052452,0.010941,0.022861000000000003,0.0046329,595,308.7243,60.128,429.2857727923015,309.0820026913165,1.0987236683153214,4.055830217829409,1.3025276243093924e+39,384.5532839103625,3308085667.072523,80540.6514431083,237.3331285346638,65809.80384431062,1.1138996108873496
596,308.7249,60.1284,9.740200000000001e+36,5.1709e+35,7.7159e+35,9.845e+34,0.5202,0.2067,0.020819,0.0047668,0.013375999999999999,0.021609,0.0044533,596,308.7249,60.1284,428.72706929613946,315.04755597561007,1.0620633883476929,4.003606679387599,1.3453314917127072e+39,371.7221859216925,3153450608.8718348,77853.31256452856,245.13240708708443,20371.472752044258,0.7849510035740782
597,308.7254,60.1288,3.6143000000000003e+36,2.0945e+35,3.5822e+35,9.0774e+34,0.8742,0.4676,0.017703,0.0040663,0.01188,0.018441,0.0038520000000000004,597,308.7254,60.1288,428.6785215437265,320.70158314656993,1.1602983379898646,3.95022584650238,4.9921270718232044e+38,406.10441829645265,3194037720.3515124,85054.3104740328,90.96138261379122,34234.412687114745,0.939540257426621
598,308.7416,60.1421,1.0864000000000001e+37,5.7659e+35,1.0819000000000001e+36,2.6454e+35,0.8818,1.0743,0.024988,0.004164800000000001,0.005345,0.017994,0.0036521,598,308.7416,60.1421,429.2728919556449,507.3634850590741,1.6850528067829704,2.54888007319144,1.500552486187845e+39,589.7684823740396,4181187705.627993,123520.82210300562,273.41517326072204,34532.03512639875,0.9518715123969756
599,308.7421,60.1425,1.0635e+37,5.6475e+35,1.0214e+36,3.0499e+35,0.8244,1.5929,0.026754000000000003,0.0040765,0.0059053000000000005,0.017473,0.0036653,599,308.7421,60.1425,429.22683497455324,513.0168749683423,1.714371548985986,2.52548515759186,1.4689226519337017e+39,600.0300421450952,4320405258.74823,125669.998155747,267.65191160049517,32284.202492859073,0.9205915545672875
600,308.7427,60.1429,6.771400000000001e+36,3.6614e+35,4.8038e+35,2.6088e+35,0.34600000000000003,2.0683,0.026155,0.0038045,0.0062374,0.015993,0.0034701999999999997,600,308.7427,60.1429,428.6710870752761,518.9817539613009,1.5389455815156756,2.5088041815841344,9.352762430939228e+38,538.6309535304865,4855926986.223622,112810.60310716278,170.41637557231718,13549.653156876806,0.6550111244267705
601,308.7479,60.1472,1.7791e+37,9.3664e+35,1.0171e+36,2.9431e+35,0.005,1.7147,0.037162,0.0058728,0.0091443,0.026057,0.0059001,601,308.7479,60.1472,429.0734472787874,579.2091823765942,1.6229284295318906,2.3732736012501885,2.4573204419889505e+39,568.0249503361617,161143548956.04395,118966.8674021195,447.7475467122153,195.8042363710521,0.018658687689225503
