ID,RA_x,Dec_x,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,Ha/100um,id,RA_y,Dec_y,xcenter,ycenter,3.6um_aperture_average,r_kpc,LBol,Sigma_star
1478,308.6465,60.1393,4.3894e+36,2.4667e+35,6.823e+35,1.1237e+35,1.5851,0.3923,0.019904,0.0034521,0.0043854,0.013188,0.0025413,1478,308.6465,60.1393,896.8102817825798,182.77295833487545,1.160411840416477,5.244014558228527,6.062707182320442e+38,406.1441441457669
1479,308.6622,60.1521,2.1016e+37,1.3054e+36,3.3933e+36,2.8241e+35,1.6451,0.1923,0.048709,0.0074,0.0080524,0.030769,0.006888600000000001,1479,308.6622,60.1521,896.6356724034929,362.7418204753012,1.2761874300111828,3.948946281363089,2.9027624309392264e+39,446.665600503914
1480,308.6627,60.1526,3.201500000000001e+37,1.6752e+36,5.6055e+36,3.0965e+35,1.7731,0.0354,0.060595,0.0092619,0.0093023,0.038395,0.008709100000000001,1480,308.6627,60.1526,897.2080761878449,369.4193914418092,2.1673764401533258,3.9211683060435645,4.421961325966852e+39,758.581754053664
1481,308.6632,60.153,2.4985e+37,1.3086e+36,3.6351e+36,2.1297e+35,1.4806,0.0479,0.05051,0.0079099,0.0088819,0.032755,0.0073709,1481,308.6632,60.153,897.1560808914737,375.07222661007575,1.9651198188695689,3.893070336168155,3.450966850828729e+39,687.7919366043491
1482,308.6637,60.1534,1.3771e+37,7.2536e+35,1.0998e+36,1.0729e+35,0.5332,0.1449,0.038968,0.0062529,0.0083946,0.025951,0.0057403,1482,308.6637,60.1534,897.1041594074876,380.7250432398354,1.273707782237032,3.865903004564088,1.90207182320442e+39,445.7977237829612
1483,308.6643,60.1538,9.072e+36,1.6297e+36,7.4099e+35,1.0154e+35,0.5686,0.3677,0.03175,0.0051737,0.0078768,0.021091,0.004674899999999999,1483,308.6643,60.1538,896.5423466883285,386.68864080713615,1.0682931912365323,3.8327861354743176,1.2530386740331493e+39,373.9026169327863
1484,308.682,60.1684,3.4201e+37,1.7784e+36,2.5621e+36,2.0496e+35,0.4320000000000001,0.1342,0.0686,0.012609,0.015459,0.044246,0.011503,1484,308.682,60.1684,897.5038295251778,591.2936833878438,0.8239422950457543,3.7013522981503786,4.723895027624309e+39,288.379803266014
1485,308.6998,60.1829,8.31e+36,4.4483e+35,4.8645e+35,1.0051e+35,0.0424,0.531,0.035230000000000004,0.0078965,0.015135,0.029081,0.0063812,1485,308.6998,60.1829,897.4258256673141,795.160452983352,0.4402147634018563,4.9329014755393255,1.1477900552486188e+39,154.0751671906497
1486,308.7004,60.1833,8.8042e+36,4.7024e+35,7.073e+35,1.0683e+35,0.5424,0.3362,0.038767,0.008571700000000002,0.015731000000000002,0.032364,0.0071157,1486,308.7004,60.1833,896.8700177229608,801.1226819314096,0.4449804785979717,4.976286071564855,1.216049723756906e+39,155.7431675092901
1487,308.6383,60.1336,1.0657000000000002e+37,5.6586e+35,1.013e+36,1.8728e+35,0.8083,0.4719,0.06613,0.009152,0.010024,0.030875,0.007403799999999999,1487,308.6383,60.1336,903.0804683419119,98.86821688869681,0.7005894560467065,6.050237182495189,1.471961325966851e+39,245.20630961634728
