ID RA Dec highres_co lowres_co hi
281 202.503 47.2189 0.00000 4.72528e+21 2.22597e+21
282 202.503 47.2200 0.00000 4.31260e+21 1.83602e+21
283 202.503 47.2217 NaN 2.06763e+21 1.37010e+21
284 202.503 47.2222 NaN 2.06763e+21 1.31164e+21
285 202.503 47.2228 NaN 1.73659e+21 1.24241e+21
286 202.503 47.2233 NaN 1.73659e+21 1.14535e+21
287 202.503 47.2239 NaN 1.31997e+21 9.74165e+20
288 202.503 47.2255 NaN 1.18636e+21 7.34988e+20
289 202.503 47.2261 NaN 1.16343e+21 7.21174e+20
290 202.502 47.1878 1.58586e+21 1.16304e+21 1.06834e+21
291 202.502 47.1883 3.91684e+21 1.16304e+21 1.08055e+21
292 202.502 47.1939 3.32627e+21 4.70250e+21 1.16853e+21
293 202.502 47.2178 0.00000 5.61427e+21 2.20993e+21
294 202.502 47.2183 0.00000 5.61427e+21 2.30068e+21
295 202.502 47.2189 0.00000 5.58026e+21 2.34668e+21
296 202.502 47.2194 0.00000 5.58026e+21 2.29803e+21
297 202.502 47.2200 0.00000 5.07366e+21 2.14995e+21
298 202.502 47.2217 NaN 2.87038e+21 1.86272e+21
299 202.502 47.2222 NaN 2.87038e+21 1.80788e+21
300 202.502 47.2228 NaN 2.29139e+21 1.71293e+21
301 202.502 47.2233 NaN 2.29139e+21 1.59157e+21
302 202.502 47.2239 NaN 1.78513e+21 1.33415e+21
303 202.502 47.2244 NaN 1.78513e+21 1.23603e+21
304 202.502 47.2250 NaN 1.64884e+21 1.07637e+21
305 202.502 47.2255 NaN 1.55599e+21 9.94708e+20
306 202.502 47.2261 NaN 1.46596e+21 9.22710e+20
307 202.502 47.2267 NaN 1.53988e+21 8.86985e+20
308 202.501 47.1855 2.98320e+21 1.70717e+21 8.39702e+20
309 202.501 47.1861 2.92349e+21 1.69483e+21 9.31749e+20
310 202.501 47.1878 8.95962e+20 1.42802e+21 1.13683e+21
311 202.501 47.1883 6.57120e+21 1.42802e+21 1.14873e+21
312 202.501 47.2189 0.00000 6.20380e+21 2.27803e+21
313 202.501 47.2194 0.00000 6.20380e+21 2.27065e+21
314 202.501 47.2200 0.00000 5.80009e+21 2.21206e+21
315 202.501 47.2211 NaN 4.66001e+21 2.15612e+21
316 202.501 47.2217 NaN 3.49651e+21 2.06292e+21
317 202.501 47.2222 NaN 3.49651e+21 2.01343e+21
318 202.501 47.2228 NaN 2.91378e+21 1.92487e+21
319 202.501 47.2233 NaN 2.91378e+21 1.81202e+21
320 202.501 47.2250 NaN 2.15026e+21 1.28540e+21
321 202.501 47.2255 NaN 1.99614e+21 1.17738e+21
322 202.501 47.2261 NaN 1.93652e+21 1.11090e+21
323 202.501 47.2267 NaN 1.81305e+21 1.04927e+21
324 202.501 47.1867 8.41654e+21 2.09032e+21 1.15769e+21
325 202.501 47.1872 8.94250e+21 2.09032e+21 1.19678e+21
326 202.501 47.1878 5.58100e+21 1.80229e+21 1.20562e+21
327 202.501 47.1883 8.94635e+21 1.80229e+21 1.19987e+21
328 202.501 47.2194 0.00000 6.61151e+21 2.14261e+21
329 202.501 47.2200 0.00000 6.37373e+21 2.19341e+21
330 202.501 47.2205 NaN 5.96608e+21 2.22715e+21
331 202.501 47.2211 NaN 5.47174e+21 2.25482e+21
332 202.501 47.2217 NaN 4.21935e+21 2.22542e+21
333 202.501 47.2222 NaN 4.21935e+21 2.19611e+21
334 202.501 47.2228 NaN 3.61017e+21 2.12350e+21
335 202.501 47.2233 NaN 3.61017e+21 2.01907e+21
336 202.501 47.2244 NaN 3.00113e+21 1.64110e+21
337 202.501 47.2250 NaN 2.63021e+21 1.48299e+21
338 202.501 47.2255 NaN 2.43171e+21 1.41386e+21
339 202.501 47.2261 NaN 2.19962e+21 1.33469e+21
340 202.501 47.2267 NaN 2.08841e+21 1.21320e+21
341 202.500 47.1861 8.41427e+21 2.90139e+21 1.17493e+21
342 202.500 47.1867 2.25073e+22 2.79457e+21 1.26703e+21
343 202.500 47.1872 2.43915e+22 2.79457e+21 1.27784e+21
344 202.500 47.1878 1.02373e+22 2.31504e+21 1.27090e+21
345 202.500 47.1883 5.40129e+21 2.31504e+21 1.24170e+21
346 202.500 47.2211 NaN 6.22568e+21 2.27020e+21
347 202.500 47.2217 NaN 4.89833e+21 2.31571e+21
348 202.500 47.2222 NaN 4.89833e+21 2.30958e+21
349 202.500 47.2228 NaN 4.41766e+21 2.26073e+21
350 202.500 47.2233 NaN 4.41766e+21 2.17480e+21
351 202.500 47.2239 NaN 3.52761e+21 1.93146e+21
352 202.500 47.2244 NaN 3.52761e+21 1.82933e+21
353 202.500 47.2250 NaN 3.14933e+21 1.71431e+21
