time,kappa_av_rp_135_300,kappa_f_rp_135_300,kappa_av_rp_135_100,kappa_f_rp_135_100,kappa_av_rp_100_300,kappa_f_rp_100_300,kappa_av_rp_100_300_z_010,kappa_f_rp_100_300_z_010,kappa_av_rp_chab,kappa_f_rp_chab
9.7,9710.537772508656,14058.308457442052,9710.53502778024,14058.304361547294,9712.344366333295,14060.918408056908,10065.307908383671,14590.730617070109,9714.674081975732,14064.359506723931
9.8,9728.564596514578,14088.945247678994,9728.564139869397,14088.944528865517,9731.458436549849,14093.134950693298,10123.982902072654,14683.120840404728,9733.805478213584,14096.61848355655
9.9,9649.866463021324,13973.021761407363,9649.866095881478,13973.021230369852,9653.194684818009,13977.937858299556,10376.00139948892,15059.078911153822,9653.89146207278,13978.899334235304
10.0,9939.540728712143,14409.360341241034,9939.540131179612,14409.359428648107,9966.051618378704,14449.01292459771,9929.60886788228,14392.604193283165,9954.101733402385,14430.90053945714
10.1,9500.487759282,13750.067541114302,9500.48839483193,13750.068510226645,9495.585593435851,13742.417789170495,10269.70618159886,14907.721791511009,9498.308070800087,13746.46890731895
10.2,9755.04396337971,14136.611948469623,9755.043780236016,14136.611670639892,9787.093579046847,14184.81731740066,9747.007598223887,14119.769148489982,9774.15057577521,14165.104063789884
10.3,9251.282138093573,13375.437290011538,9251.281975076816,13375.437057481802,9253.395674296673,13378.193267990147,9598.781305039869,13898.128892551047,9251.086656160507,13374.807702699643
10.4,10115.070352699984,14654.67687877308,10115.070344920417,14654.676866214453,10158.580880668696,14720.002642850848,9663.324574022257,13994.237042060438,10155.622572065196,14714.728428393379
10.5,10860.427641384926,15332.378722448997,10860.428719640275,15332.38018593616,10844.546188628487,15311.059329929278,9565.490537413563,13853.128124570894,10870.189409531456,15343.462241545254
10.6,13022.675195163778,18067.37065063036,13022.675170478942,18067.370618968525,13190.204188709393,18280.444798924153,9695.962404582107,14039.806056963946,13221.047184543408,18317.094213936074
10.7,12937.61554822251,17935.457045924137,12937.61549193455,17935.456976849113,13035.676230060062,18061.07230277036,10402.091390433783,14991.85491556695,13041.997848954845,18066.149139734538
10.8,12510.548086070521,17433.9775895916,12510.548012365804,17433.977498770637,12557.040437535363,17496.59997671402,10606.921598620134,15100.982065057127,12545.45566811649,17478.57491494765
10.9,9830.653435279184,14009.860413360568,9830.653387907336,14009.860356132649,9807.987981475773,13982.7644124813,11552.165220177529,16225.313769913984,9803.84729126459,13975.657128288638
11.0,13841.87371676915,19067.094537675544,13841.873771376617,19067.094607109397,13914.548069224926,19158.80319528309,14161.41145750212,19544.07712711676,13901.542863530352,19140.69904287612
