ID RA Dec LHa E_LHa LPab E_Pab AHa E_AHa Ha/24um Ha/70um Ha/8um Ha/12um
85 202.5161 47.2061 2.8017e+37 1.4574e+36 2.9465e+36 2.0401e+35 0.8943 0.0877 4.7559e-02 1.2991e-02 1.0490e-02 3.3810e-02
86 202.5161 47.2094 1.5936e+37 8.3377e+35 1.9201e+36 1.8694e+35 1.1091 0.1523 3.7996e-02 8.8238e-03 6.7848e-03 2.0974e-02
87 202.5161 47.21 1.7327e+37 9.0538e+35 2.4037e+36 1.5876e+35 1.3318 0.0761 3.9606e-02 8.7129e-03 6.2872e-03 2.1473e-02
88 202.5161 47.2105 1.0544e+37 5.5676e+35 1.8563e+36 1.7441e+35 1.7082 0.1317 2.9080e-02 5.8873e-03 4.7423e-03 1.5736e-02
89 202.5152 47.155 1.3829e+37 7.2546e+35 1.1101e+36 1.4517e+35 0.4677 0.178 2.1028e-01 3.6307e-02 2.6977e-02 8.6746e-02
90 202.5152 47.16 3.23e+37 1.679e+36 2.4863e+36 2.329e+35 0.4013 0.1163 6.3872e-02 1.9398e-02 1.8228e-02 5.5569e-02
91 202.5152 47.1605 2.1876e+37 1.1402e+36 2.0794e+36 1.9067e+35 0.7346 0.1411 3.6654e-02 1.0819e-02 9.7622e-03 3.0583e-02
92 202.5152 47.1611 4.617e+37 2.3965e+36 3.8605e+36 2.7262e+35 0.532 0.1081 6.3844e-02 1.6626e-02 9.7440e-03 4.6920e-02
93 202.5152 47.1616 4.8619e+37 2.5233e+36 6.2766e+36 4.049e+35 1.2181 0.065 6.6589e-02 1.5123e-02 1.0063e-02 4.6937e-02
94 202.5152 47.1622 1.8455e+37 9.6369e+35 2.3566e+36 2.0043e+35 1.201 0.1512 3.1025e-02 6.5667e-03 8.9916e-03 2.2329e-02
95 202.5152 47.1639 1.6945e+37 8.8592e+35 1.5957e+36 2.2166e+35 0.7197 0.2214 4.8065e-02 1.3359e-02 9.7323e-03 3.9092e-02
96 202.5152 47.1644 1.5608e+37 8.1697e+35 1.9536e+36 2.5168e+35 1.1694 0.1806 4.7120e-02 1.4207e-02 1.0177e-02 3.7726e-02
97 202.5153 47.2055 8.234e+37 4.2687e+36 6.3788e+36 6.1303e+35 0.4114 0.1174 1.0527e-01 2.9760e-02 1.6067e-02 7.4204e-02
98 202.5153 47.2061 4.2538e+37 2.2085e+36 4.5321e+36 3.2726e+35 0.9148 0.0815 5.8951e-02 1.3454e-02 1.1292e-02 4.0640e-02
99 202.5153 47.2066 1.1161e+37 5.8834e+35 1.3567e+36 1.5559e+35 1.1232 0.1854 2.3037e-02 4.6856e-03 6.9703e-03 1.5698e-02
100 202.5153 47.2089 1.1403e+37 6.0076e+35 1.1001e+36 1.1436e+35 0.758 0.1737 3.0406e-02 7.3185e-03 6.1799e-03 1.7488e-02
