ID,RA,Dec,LHa,E_LHa,LPab,E_Pab,AHa,E_AHa,Ha/24um,Ha/70um,Ha/8um,Ha/12um,xcenter,ycenter,3.6um_aperture_average,LBol,Sigma_star,L_Edd,Mass_old,Mass_new,Mass_g,Momentum,tau,Sigma_g
1838,202.445,47.21,1.8748e+37,9.7875e+35,1.1585e+36,3.0968e+35,0.0543,0.4136,0.030156,0.0070963000000000016,0.0099362,0.022703,734.7654902817524,812.8203401627878,1.3499348369778168,2.5895027624309397e+39,0.09862917173339897,1.4933392095312457e+39,4.918082976886798e+35,9.380028980637456e+35,1.0573764158536432e+36,0.18594001097590215,0.02528555177824068,0.00035341738029564
1850,202.4441,47.2078,1.2792e+37,6.721e+35,7.7793e+35,2.8035e+35,0.029,0.619,0.019161,0.0030556,0.010573,0.018959,741.3607819175093,789.0582912426971,1.3294690541847214,1.7668508287292822e+39,0.09713389718349726,9.31940973753431e+38,4.8435220312720264e+35,6.400113650539488e+35,5.647130029420929e+35,0.10806420790239817,0.01350425417254106,0.00018874961378588504
1852,202.4442,47.21,2.2252e+37,1.1596e+36,1.3387000000000002e+36,2.8343e+35,0.012,0.3919,0.031448000000000004,0.0071096000000000015,0.010676,0.023977,740.6347313743263,812.8184247057394,1.293801209441465,3.073480662983425e+39,0.09452792696317272,9.136414671180526e+38,4.713576929294536e+35,1.11331557967327e+36,2.3367434604500404e+35,0.04910269179381965,0.005587967243810094,7.810328846312487e-05
1855,202.4433,47.1611,1.0581e+37,5.5874e+35,6.4241e+35,2.3506e+35,0.0264,1.077,0.020576,0.0032981,0.0074429,0.016149,747.0740076776308,284.69863354249196,0.9759944526497312,1.4614640883977902e+39,0.07130827492143381,7.956700002063554e+38,3.555743263770196e+35,5.293902637301307e+35,5.140835612990089e+35,0.09543914720286603,0.012293527936382206,0.0001718272346188747
1867,202.4425,47.21,1.4351e+37,7.5222e+35,9.0247e+35,1.5836e+35,0.0819,0.3082,0.024063,0.004213399999999999,0.0093316,0.019696,753.106868867726,812.8145540395026,1.0605242956618082,1.982182320441989e+39,0.07748420888110565,1.7666527060379918e+39,3.863702411551964e+35,7.180114993659489e+35,1.5948274117571522e+36,0.257271809808137,0.03813787643900389,0.0005330549437608271
1870,202.4417,47.2039,1.4019000000000002e+37,7.3509e+35,8.7148e+35,1.9194e+35,0.0638,0.4064,0.020614,0.0028832,0.0060396,0.013585,758.9570490470078,746.9331088940822,1.4829857399159736,1.936325966850829e+39,0.10835015973645687,1.536592106985911e+39,5.402814063806897e+35,7.014008229120786e+35,1.2423686064726048e+36,0.21205352933526955,0.02970935917959033,0.0004152491503289472
1898,202.4384,47.2245,2.2476e+37,1.1711e+36,1.4099e+36,1.8282e+35,0.078,0.263,0.029208,0.0084798,0.0051048000000000005,0.018655,783.2254233592629,969.4056926805839,1.1523767626971206,3.104419889502763e+39,0.08419514965928714,2.012309325991216e+39,4.198339345230009e+35,1.1245227830638331e+36,1.5188832492925266e+36,0.24412026206178605,0.03632178708476561,0.0005076713750103118
1902,202.4376,47.165,4.77e+37,2.4757e+36,3.0474e+36,3.9316e+35,0.1069,0.2608,0.016776,0.0057215,0.0078391,0.021475,788.9408702912183,326.80701090720123,1.6974785734193232,6.588397790055249e+39,0.12402147210776128,3.612997371399167e+39,6.184254415015773e+35,2.3865339362940402e+36,2.081648966017577e+36,0.30942920672454033,0.04977947486360825,0.000695770128059004
1924,202.436,47.1667,1.4387e+38,7.455e+36,9.5158e+36,1.4842000000000002e+36,0.1616,0.2377,0.047972,0.0081788,0.014368,0.056102,800.6932817562395,345.1642699957161,3.6968931530435656,1.9871546961325968e+40,0.2701030447424126,9.410697696484484e+39,1.3468522172564464e+36,7.19812657053718e+36,3.1468145267393884e+36,0.4127847157149037,0.07525129221664259,0.0010517909513034149
1926,202.436,47.1678,3.7919e+37,1.9695e+36,2.4531e+36,4.5893e+35,0.1267,0.3917,0.02091,0.0029218000000000004,0.010165,0.022213,800.69585199317,357.04421996765836,1.621518016699626,5.2374309392265195e+39,0.11847162882018135,3.686397480852266e+39,5.907514893459052e+35,1.8971693989587777e+36,2.467211636991834e+36,0.3501488251213271,0.05899962081589491,0.0008246405540231601
